Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Indonesia,IDN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.978320002555847,0.980740010738373,0.982840001583099,0.986850023269653,0.975489974021912,0.982860028743744,0.978890001773834,0.984170019626617,0.9826700091362,1.02081000804901,1.02225995063782,1.00821995735168,0.984489977359772,0.982280015945435,0.985639989376068,0.995899975299835,0.993650019168854,0.993399977684021,..,..,..,..,..,..,..
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,732.307093405708,881.002913569131,1043.2105838671,1126.84004447173,1238.21447629488,1558.31562847163,1823.21976255073,2124.55483920618,2218.48541852977,3065.68348377765,3579.46442466152,3632.27254030331,3566.60284506078,3441.06808464008,3288.22269725538,3521.46943457574,3798.88326174526,3860.95353090726,4106.94856160358,3853.70288774146,4287.17313995098,4730.83484836107,4876.30774512252,4925.43048751861,..
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.583,66.954,67.134,65.521,67.531,67.664,67.914,68.085,68.267,68.364,68.629,68.862,69.064,69.292,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925,71.146,71.288,..
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.9018895186157,43.7824069030376,44.6301761521872,45.4476736441888,46.2373757571669,47.0017588692457,47.7432993585496,48.4644736032029,49.16775798133,49.8521375148888,50.4830017089844,51.1593933105469,51.8307495117188,52.5002136230469,53.1720771789551,53.812557220459,54.4541015625,55.0956840515137,55.7382049560547,56.2785287648768,56.8761702464027,57.4934704226599,58.1179353397878,58.7509635387997,..
Indonesia,IDN,"Population, total",SP.POP.TOTL,219097902,222088495,225048008,227926649,230871650,233951652,237062337,240157903,243220028,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931,..
Lao PDR,LAO,"School enrollment, primary (% gross)",SE.PRM.ENRR,103.310859680176,105.233688354492,107.481590270996,108.649421691895,110.026527404785,110.817306518555,112.471809387207,114.984016418457,117.407089233398,119.705680847168,119.074599302583,118.414315740965,118.408152699995,117.425464096562,114.302879123065,110.502812681423,107.444972491228,104.275413158198,101.978544594664,100.27766790602,99.1101994809825,95.6988495024876,95.0382534939216,93.8514019047136,93.1435250140429
Lao PDR,LAO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,35.1896514892578,37.9458808898926,40.6808013916016,42.5078582763672,42.9863014221191,42.2330513000488,43.0343399047852,44.126880645752,45.6930198669434,47.3594398498535,46.3030907447649,49.0350189208984,52.6759359354755,58.0247383117676,62.2967936554274,64.7630026961054,66.0411073482017,66.1528570578416,64.986385458831,62.4493058083911,59.8530595325837,56.8782044614964,54.4330611689851,51.8523602531839,50.5430058959811
Lao PDR,LAO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,3.04713988304138,4.05916023254395,4.79725980758667,5.579430103302,7.60128021240234,8.78625965118408,11.2626600265503,13.0783004760742,16.2123508453369,16.6638298034668,17.4954696423161,17.330766926856,18.9224448772621,18.4954952643985,18.1574846273063,17.0880719461771,15.4112577339384,14.4969749098337,13.7404020217342,12.561911777868,12.4396649191011,13.677811550152,14.8841695785522,..,..
Lao PDR,LAO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,66.6962966918945,67.0953216552734,66.6697769165039,66.7765579223633,69.1728973388672,72.6434326171875,75.1448974609375,77.3106689453125,79.8850708007812,82.9912033081055,88.8513579730692,92.3112588922596,97.6909883464738,99.6774414463772,100.973160602492,99.7526047861459,101.054475670832,98.4586280857413,93.5781951138441,90.7867199075151,89.6962813896803,88.2502219689641,88.83898879882,87.2513184690094,85.2487998761162
Lao PDR,LAO,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,36.0344009399414,39.8345718383789,42.6177787780762,44.6698684692383,44.2967796325684,42.6877212524414,42.940601348877,44.6135101318359,47.6905097961426,42.9314804077148,44.6443004597793,46.9993716661542,49.4822332317581,53.6639604893689,60.1120365790072,64.5179865862746,68.1382581519484,66.2468426457934,64.7872414031689,61.6923234460866,60.9252133738928,58.1785953177258,54.6557731587168,51.0205851354777,49.2782611594493
